name,price,url
Ariel Roll Sleeve Sweatshirt,$39.00,https://www.scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt/
Artemis Running Short,$45.00,https://www.scrapingcourse.com/ecommerce/product/artemis-running-short/
Angel Light Running Short,$42.00,https://www.scrapingcourse.com/ecommerce/product/angel-light-running-short/
Abominable Hoodie,$69.00,https://www.scrapingcourse.com/ecommerce/product/abominable-hoodie/
Ajax Full-Zip Sweatshirt,$69.00,https://www.scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt/
Arcadio Gym Short,$20.00,https://www.scrapingcourse.com/ecommerce/product/arcadio-gym-short/
Aim Analog Watch,$45.00,https://www.scrapingcourse.com/ecommerce/product/aim-analog-watch/
Aeon Capri,$48.00,https://www.scrapingcourse.com/ecommerce/product/aeon-capri/
Adrienne Trek Jacket,$57.00,https://www.scrapingcourse.com/ecommerce/product/adrienne-trek-jacket/
Ana Running Short,$40.00,https://www.scrapingcourse.com/ecommerce/product/ana-running-short/
Aether Gym Pant,$74.00,https://www.scrapingcourse.com/ecommerce/product/aether-gym-pant/
Argus All-Weather Tank,$22.00,https://www.scrapingcourse.com/ecommerce/product/argus-all-weather-tank/
Affirm Water Bottle,$7.00,https://www.scrapingcourse.com/ecommerce/product/affirm-water-bottle/
Aero Daily Fitness Tee,$24.00,https://www.scrapingcourse.com/ecommerce/product/aero-daily-fitness-tee/
Antonia Racer Tank,$34.00,https://www.scrapingcourse.com/ecommerce/product/antonia-racer-tank/
Apollo Running Short,$32.50,https://www.scrapingcourse.com/ecommerce/product/apollo-running-short/
